concept,component,selection_count
bas,bos_attention_proportion_per_head_layer_0_head_0,300
bas,bos_attention_proportion_per_head_layer_0_head_1,300
bas,bos_attention_proportion_per_head_layer_0_head_10,300
bas,bos_attention_proportion_per_head_layer_0_head_11,300
bas,bos_attention_proportion_per_head_layer_0_head_12,300
bas,bos_attention_proportion_per_head_layer_0_head_13,300
bas,bos_attention_proportion_per_head_layer_0_head_14,300
bas,bos_attention_proportion_per_head_layer_0_head_15,300
bas,bos_attention_proportion_per_head_layer_0_head_16,300
bas,bos_attention_proportion_per_head_layer_0_head_17,300
bas,bos_attention_proportion_per_head_layer_0_head_18,300
bas,bos_attention_proportion_per_head_layer_0_head_19,300
bas,bos_attention_proportion_per_head_layer_0_head_2,300
bas,bos_attention_proportion_per_head_layer_0_head_20,300
bas,bos_attention_proportion_per_head_layer_0_head_21,300
bas,bos_attention_proportion_per_head_layer_0_head_22,300
bas,bos_attention_proportion_per_head_layer_0_head_23,300
bas,bos_attention_proportion_per_head_layer_0_head_24,300
bas,bos_attention_proportion_per_head_layer_0_head_25,300
bas,bos_attention_proportion_per_head_layer_0_head_26,300
bas,bos_attention_proportion_per_head_layer_0_head_27,300
bas,bos_attention_proportion_per_head_layer_0_head_28,300
bas,bos_attention_proportion_per_head_layer_0_head_29,300
bas,bos_attention_proportion_per_head_layer_0_head_3,300
bas,bos_attention_proportion_per_head_layer_0_head_30,300
bas,bos_attention_proportion_per_head_layer_0_head_31,300
bas,bos_attention_proportion_per_head_layer_0_head_4,300
bas,bos_attention_proportion_per_head_layer_0_head_5,300
bas,bos_attention_proportion_per_head_layer_0_head_6,300
bas,bos_attention_proportion_per_head_layer_0_head_7,300
bas,bos_attention_proportion_per_head_layer_0_head_8,300
bas,bos_attention_proportion_per_head_layer_0_head_9,300
bas,bos_attention_proportion_per_head_layer_10_head_0,300
bas,bos_attention_proportion_per_head_layer_10_head_1,300
bas,bos_attention_proportion_per_head_layer_10_head_10,300
bas,bos_attention_proportion_per_head_layer_10_head_11,300
bas,bos_attention_proportion_per_head_layer_10_head_12,300
bas,bos_attention_proportion_per_head_layer_10_head_13,300
bas,bos_attention_proportion_per_head_layer_10_head_14,300
bas,bos_attention_proportion_per_head_layer_10_head_15,300
bas,bos_attention_proportion_per_head_layer_10_head_16,300
bas,bos_attention_proportion_per_head_layer_10_head_17,300
bas,bos_attention_proportion_per_head_layer_10_head_18,300
bas,bos_attention_proportion_per_head_layer_10_head_19,300
bas,bos_attention_proportion_per_head_layer_10_head_2,300
bas,bos_attention_proportion_per_head_layer_10_head_20,300
bas,bos_attention_proportion_per_head_layer_10_head_21,300
bas,bos_attention_proportion_per_head_layer_10_head_22,300
bas,bos_attention_proportion_per_head_layer_10_head_23,300
bas,bos_attention_proportion_per_head_layer_10_head_24,300
bas,bos_attention_proportion_per_head_layer_10_head_25,300
bas,bos_attention_proportion_per_head_layer_10_head_26,300
bas,bos_attention_proportion_per_head_layer_10_head_27,300
bas,bos_attention_proportion_per_head_layer_10_head_28,300
bas,bos_attention_proportion_per_head_layer_10_head_29,300
bas,bos_attention_proportion_per_head_layer_10_head_3,300
bas,bos_attention_proportion_per_head_layer_10_head_30,300
bas,bos_attention_proportion_per_head_layer_10_head_31,300
bas,bos_attention_proportion_per_head_layer_10_head_4,300
bas,bos_attention_proportion_per_head_layer_10_head_5,300
bas,bos_attention_proportion_per_head_layer_10_head_6,300
bas,bos_attention_proportion_per_head_layer_10_head_7,300
bas,bos_attention_proportion_per_head_layer_10_head_8,300
bas,bos_attention_proportion_per_head_layer_10_head_9,300
bas,bos_attention_proportion_per_head_layer_11_head_0,300
bas,bos_attention_proportion_per_head_layer_11_head_1,300
bas,bos_attention_proportion_per_head_layer_11_head_10,300
bas,bos_attention_proportion_per_head_layer_11_head_11,300
bas,bos_attention_proportion_per_head_layer_11_head_12,300
bas,bos_attention_proportion_per_head_layer_11_head_13,300
bas,bos_attention_proportion_per_head_layer_11_head_14,300
bas,bos_attention_proportion_per_head_layer_11_head_15,300
bas,bos_attention_proportion_per_head_layer_11_head_16,300
bas,bos_attention_proportion_per_head_layer_11_head_17,300
bas,bos_attention_proportion_per_head_layer_11_head_18,300
bas,bos_attention_proportion_per_head_layer_11_head_19,300
bas,bos_attention_proportion_per_head_layer_11_head_2,300
bas,bos_attention_proportion_per_head_layer_11_head_20,300
bas,bos_attention_proportion_per_head_layer_11_head_21,300
bas,bos_attention_proportion_per_head_layer_11_head_22,300
bas,bos_attention_proportion_per_head_layer_11_head_23,300
bas,bos_attention_proportion_per_head_layer_11_head_24,300
bas,bos_attention_proportion_per_head_layer_11_head_25,300
bas,bos_attention_proportion_per_head_layer_11_head_26,300
bas,bos_attention_proportion_per_head_layer_11_head_27,300
bas,bos_attention_proportion_per_head_layer_11_head_28,300
bas,bos_attention_proportion_per_head_layer_11_head_29,300
bas,bos_attention_proportion_per_head_layer_11_head_3,300
bas,bos_attention_proportion_per_head_layer_11_head_30,300
bas,bos_attention_proportion_per_head_layer_11_head_31,300
bas,bos_attention_proportion_per_head_layer_11_head_4,300
bas,bos_attention_proportion_per_head_layer_11_head_5,300
bas,bos_attention_proportion_per_head_layer_11_head_6,300
bas,bos_attention_proportion_per_head_layer_11_head_7,300
bas,bos_attention_proportion_per_head_layer_11_head_8,300
bas,bos_attention_proportion_per_head_layer_11_head_9,300
bas,bos_attention_proportion_per_head_layer_12_head_0,300
bas,bos_attention_proportion_per_head_layer_12_head_1,300
bas,bos_attention_proportion_per_head_layer_12_head_10,300
bas,bos_attention_proportion_per_head_layer_12_head_11,300
bas,bos_attention_proportion_per_head_layer_12_head_12,300
bas,bos_attention_proportion_per_head_layer_12_head_13,300
bas,bos_attention_proportion_per_head_layer_12_head_14,300
bas,bos_attention_proportion_per_head_layer_12_head_15,300
bas,bos_attention_proportion_per_head_layer_12_head_16,300
bas,bos_attention_proportion_per_head_layer_12_head_17,300
bas,bos_attention_proportion_per_head_layer_12_head_18,300
bas,bos_attention_proportion_per_head_layer_12_head_19,300
bas,bos_attention_proportion_per_head_layer_12_head_2,300
bas,bos_attention_proportion_per_head_layer_12_head_20,300
bas,bos_attention_proportion_per_head_layer_12_head_21,300
bas,bos_attention_proportion_per_head_layer_12_head_22,300
bas,bos_attention_proportion_per_head_layer_12_head_23,300
bas,bos_attention_proportion_per_head_layer_12_head_24,300
bas,bos_attention_proportion_per_head_layer_12_head_25,300
bas,bos_attention_proportion_per_head_layer_12_head_26,300
bas,bos_attention_proportion_per_head_layer_12_head_27,300
bas,bos_attention_proportion_per_head_layer_12_head_28,300
bas,bos_attention_proportion_per_head_layer_12_head_29,300
bas,bos_attention_proportion_per_head_layer_12_head_3,300
bas,bos_attention_proportion_per_head_layer_12_head_30,300
bas,bos_attention_proportion_per_head_layer_12_head_31,300
bas,bos_attention_proportion_per_head_layer_12_head_4,300
bas,bos_attention_proportion_per_head_layer_12_head_5,300
bas,bos_attention_proportion_per_head_layer_12_head_6,300
bas,bos_attention_proportion_per_head_layer_12_head_7,300
bas,bos_attention_proportion_per_head_layer_12_head_8,300
bas,bos_attention_proportion_per_head_layer_12_head_9,300
bas,bos_attention_proportion_per_head_layer_13_head_0,300
bas,bos_attention_proportion_per_head_layer_13_head_1,300
bas,bos_attention_proportion_per_head_layer_13_head_10,300
bas,bos_attention_proportion_per_head_layer_13_head_11,300
bas,bos_attention_proportion_per_head_layer_13_head_12,300
bas,bos_attention_proportion_per_head_layer_13_head_13,300
bas,bos_attention_proportion_per_head_layer_13_head_14,300
bas,bos_attention_proportion_per_head_layer_13_head_15,300
bas,bos_attention_proportion_per_head_layer_13_head_16,300
bas,bos_attention_proportion_per_head_layer_13_head_17,300
bas,bos_attention_proportion_per_head_layer_13_head_18,300
bas,bos_attention_proportion_per_head_layer_13_head_19,300
bas,bos_attention_proportion_per_head_layer_13_head_2,300
bas,bos_attention_proportion_per_head_layer_13_head_20,300
bas,bos_attention_proportion_per_head_layer_13_head_21,300
bas,bos_attention_proportion_per_head_layer_13_head_22,300
bas,bos_attention_proportion_per_head_layer_13_head_23,300
bas,bos_attention_proportion_per_head_layer_13_head_24,300
bas,bos_attention_proportion_per_head_layer_13_head_25,300
bas,bos_attention_proportion_per_head_layer_13_head_26,300
bas,bos_attention_proportion_per_head_layer_13_head_27,300
bas,bos_attention_proportion_per_head_layer_13_head_28,300
bas,bos_attention_proportion_per_head_layer_13_head_29,300
bas,bos_attention_proportion_per_head_layer_13_head_3,300
bas,bos_attention_proportion_per_head_layer_13_head_30,300
bas,bos_attention_proportion_per_head_layer_13_head_31,300
bas,bos_attention_proportion_per_head_layer_13_head_4,300
bas,bos_attention_proportion_per_head_layer_13_head_5,300
bas,bos_attention_proportion_per_head_layer_13_head_6,300
bas,bos_attention_proportion_per_head_layer_13_head_7,300
bas,bos_attention_proportion_per_head_layer_13_head_8,300
bas,bos_attention_proportion_per_head_layer_13_head_9,300
bas,bos_attention_proportion_per_head_layer_14_head_0,300
bas,bos_attention_proportion_per_head_layer_14_head_1,300
bas,bos_attention_proportion_per_head_layer_14_head_10,300
bas,bos_attention_proportion_per_head_layer_14_head_11,300
bas,bos_attention_proportion_per_head_layer_14_head_12,300
bas,bos_attention_proportion_per_head_layer_14_head_13,300
bas,bos_attention_proportion_per_head_layer_14_head_14,300
bas,bos_attention_proportion_per_head_layer_14_head_15,300
bas,bos_attention_proportion_per_head_layer_14_head_16,300
bas,bos_attention_proportion_per_head_layer_14_head_17,300
bas,bos_attention_proportion_per_head_layer_14_head_18,300
bas,bos_attention_proportion_per_head_layer_14_head_19,300
