Test_Data_Scope,k_percent,Classifier,Model_Combination,Mechanistic_Concept,Most_Important_Feature,MannWhitneyU_statistic,p_value,Is_Significant_p<0.05
Full_Holdout,100,Logistic Regression,Baseline,PKS_BASELINE,parameter_knowledge_difference_fft_mag_3,846.00000,0.21199,No
Confident_Subset,100,Logistic Regression,Baseline,PKS_BASELINE,parameter_knowledge_difference_fft_mag_3,100.00000,0.00018,Yes
Full_Holdout,100,Logistic Regression,Baseline,ECS_BASELINE,ecs_prompt_final_layer_per_head_fft_mag_4,953.00000,0.02503,Yes
Confident_Subset,100,Logistic Regression,Baseline,ECS_BASELINE,ecs_prompt_final_layer_per_head_fft_mag_4,68.00000,0.18588,No
Full_Holdout,100,Logistic Regression,Ours 1,PFS,v_ffn_norm_per_layer_mean,961.00000,0.02060,Yes
Confident_Subset,100,Logistic Regression,Ours 1,PFS,v_ffn_norm_per_layer_mean,100.00000,0.00018,Yes
Full_Holdout,100,Logistic Regression,Ours 1,CAS,cas_alt_vs_final_layer_per_head_fft_mag_5,615.00000,0.37551,No
Confident_Subset,100,Logistic Regression,Ours 1,CAS,cas_alt_vs_final_layer_per_head_fft_mag_5,79.00000,0.03121,Yes
Full_Holdout,100,Logistic Regression,Ours 2,PAS,pos_cos_similarity_per_layer_sum,665.00000,0.67286,No
Confident_Subset,100,Logistic Regression,Ours 2,PAS,pos_cos_similarity_per_layer_sum,13.00000,0.00580,Yes
Full_Holdout,100,Logistic Regression,Ours 2,BAS,bos_attention_proportion_per_head_fft_mag_1,1091.00000,0.00043,Yes
Confident_Subset,100,Logistic Regression,Ours 2,BAS,bos_attention_proportion_per_head_fft_mag_1,100.00000,0.00018,Yes
Full_Holdout,100,Logistic Regression,Ours 2,PFS,v_ffn_norm_per_layer_mean,961.00000,0.02060,Yes
Confident_Subset,100,Logistic Regression,Ours 2,PFS,v_ffn_norm_per_layer_mean,99.00000,0.00025,Yes
Full_Holdout,100,Logistic Regression,Ours 2,CAS,cas_alt_vs_final_layer_per_head_fft_mag_3,797.00000,0.42754,No
Confident_Subset,100,Logistic Regression,Ours 2,CAS,cas_alt_vs_final_layer_per_head_fft_mag_3,72.00000,0.10411,No
Full_Holdout,100,LightGBM,Baseline,PKS_BASELINE,parameter_knowledge_difference_slope,630.00000,0.45506,No
Confident_Subset,100,LightGBM,Baseline,PKS_BASELINE,parameter_knowledge_difference_slope,25.00000,0.06402,No
Full_Holdout,100,LightGBM,Baseline,ECS_BASELINE,ecs_prompt_final_layer_per_head_fft_mag_4,953.00000,0.02503,Yes
Confident_Subset,100,LightGBM,Baseline,ECS_BASELINE,ecs_prompt_final_layer_per_head_fft_mag_4,72.00000,0.10411,No
Full_Holdout,100,LightGBM,Ours 1,PFS,v_ffn_norm_per_layer_fft_mag_2,936.00000,0.03723,Yes
